athlete,interval_1,100-meter_1,500-meter_1,interval_2,100-meter_2,500-meter_2,is_male,exclude
Jan Bos,4.422,10.07,36.149,4.988,10.21,36.111,1,0
Nick Pearson,4.125,10.21,35.834,5.192,10.16,36.094,1,0
Nico Ihle,4.125,9.88,35.532,4.259,9.79,35.539,1,0
Aleksandr Lebedev,3.92,10.12,36.144,4.312,10.15,36.276,1,0
Samuel Schwarz,3.92,9.95,35.795,3.685,10.02,35.715,1,0
Mitchell Whitmore,4.196,10.07,36.734,4.996,10.13,36.314,1,1
Maciej Biega,4.196,10.14,36.642,3.676,10.06,37.934,1,1
Markus Puolakka,4.052,9.78,36.152,4.602,9.82,36.204,1,0
Nan Wang,4.052,9.97,35.915,4.312,10.04,35.928,1,0
Konrad Niedzwiedzki,3.938,10.07,36.183,3.996,10.04,36.179,1,0
Fangyi Liu,3.938,9.84,36.193,4.602,9.96,36.047,1,0
Yevgeny Lalenkov,4.859,10.18,36.42,4.949,10.22,36.614,1,0
Tuomas Nieminen,4.859,9.9,35.94,4.988,10.01,36.047,1,0
Roman Krech,4.087,9.94,36.261,3.676,9.95,36.27,1,0
Timofey Skopin,4.087,10.01,36.482,3.996,10.01,36.465,1,0
Mike Ireland,4.176,9.78,35.386,4.236,9.82,35.253,1,0
Dmitry Lobkov,4.176,9.73,35.133,4.662,9.86,35.335,1,0
Ermanno Ioriatti,3.985,9.82,35.957,3.685,9.86,35.842,1,0
Maciej Ustynowicz,3.985,9.78,35.596,3.941,9.84,35.753,1,0
Simon Kuipers,4.597,9.99,35.662,4.259,9.97,35.669,1,0
Kyle Parrott,4.597,9.84,35.577,5.192,9.91,35.767,1,0
Pekka Koskela,3.747,9.86,35.943,3.941,9.97,36.535,1,0
Jeremy Wotherspoon,3.747,9.69,35.094,3.686,9.69,35.188,1,0
Tae-Bum Mo,4.223,9.63,34.923,3.686,9.61,34.906,1,0
Jan Smeekens,4.223,9.65,35.16,4.522,9.66,35.051,1,0
Joon Mun,3.602,9.98,35.552,3.873,9.99,35.64,1,0
Shani Davis,3.602,10.1,35.45,NaN,NaN,NaN,1,1
Fengtong Yu,3.779,9.69,35.116,3.899,9.73,35.12,1,0
Akio Ohta,3.779,9.65,35.315,3.873,9.72,35.347,1,0
Zhongoi Zhang,4.017,9.65,35.175,3.727,9.62,35.113,1,0
Jamie Gregg,4.017,9.7,35.142,3.961,9.7,35.126,1,0
Kang-Seok Lee,4.467,9.54,35.053,4.662,9.53,34.988,1,0
Joji Kato,4.467,9.55,34.937,4.412,9.56,35.076,1,0
Mika Poutala,4.267,9.55,34.863,4.412,9.63,35.181,1,0
Yuya Oikawa,4.267,9.47,35.174,3.727,9.55,35.254,1,0
Keiichiro Nagashima,3.59,9.67,35.108,3.961,9.64,34.876,1,0
Kyou-Hyuk Lee,3.59,9.63,35.145,3.899,9.7,35.344,1,0
Ronald Mulder,4.202,9.77,35.155,4.522,9.79,35.146,1,0
Tucker Fredricks,4.202,9.71,35.218,4.236,9.69,35.138,1,0
Oh Min-jee,4.647,11.04,39.816,4.274,11.04,39.768,0,0
Anastasia Bucsis,4.647,10.99,39.879,3.832,10.99,39.876,0,0
Ko Hyon-Suk,4.985,10.69,38.893,4.012,10.66,38.577,0,0
Svetlana Radkevich,4.985,10.88,39.899,4.014,10.78,39.854,0,0
Jennifer Rodriguez,4.227,10.9,39.182,4.012,11.04,39.281,0,0
Sophie Muir,4.227,10.97,39.649,4.014,10.91,39.4,0,0
Chiara Simionato,4.604,10.86,39.48,4.08,10.85,39.285,0,0
Lee Bo-ra,4.604,10.86,39.396,4.327,10.88,39.406,0,0
Lauren Cholewinski,4.282,10.83,39.514,4.274,10.9,39.587,0,0
Ahn Jee-min,4.282,10.82,39.595,4.567,10.85,39.549,0,0
Yekaterina Aydova,4.285,10.72,39.024,4.041,10.75,39.116,0,0
Karolína Erbanová,4.285,10.8,39.365,4.327,10.71,39.321,0,0
Monique Angermüller,4.495,10.7,38.761,3.994,10.72,38.83,0,0
Shannon Rempel,4.495,11.05,39.351,4.502,11.13,39.473,0,0
Svetlana Kaykan,4.794,10.66,39.422,4.567,10.65,39.21,0,0
Judith Hesse,4.794,10.5,39.357,4.699,10.6,39.486,0,0
Jin Peiyu,4.978,10.78,38.686,4.223,10.68,38.711,0,0
Yekaterina Malysheva,4.978,10.97,39.782,4.08,10.87,38.947,0,0
Laurine van Riessen,4.629,10.64,39.302,4.338,10.63,38.845,0,0
Olga Fatkulina,4.629,10.84,39.359,4.699,10.72,39.077,0,0
Christine Nesbitt,4.37,10.86,38.881,3.994,10.77,38.694,0,0
Elli Ochowicz,4.37,10.89,39.002,4.502,10.91,39.048,0,0
Zhang Shuang,4.129,10.51,38.53,4.418,10.58,38.807,0,0
Tomomi Okazaki,4.129,10.49,38.971,4.338,10.57,39.06,0,0
Xing Aihua,3.813,10.45,38.792,3.629,10.55,38.849,0,0
Thijsje Oenema,3.813,10.6,38.892,4.041,10.56,38.869,0,0
Heather Richardson,3.576,10.69,38.698,3.629,10.66,38.477,0,0
Shihomi Shinya,3.576,10.5,38.964,4.098,10.49,38.765,0,0
Wang Beixing,3.873,10.46,38.487,3.479,10.45,38.144,0,0
Sayuri Yoshii,3.873,10.51,38.566,4.418,10.55,38.432,0,0
Nao Kodaira,3.544,10.75,38.835,4.098,10.84,38.797,0,0
Annette Gerritsen,3.544,10.44,97.952,3.832,10.59,38.709,0,1
Lee Sang-hwa,3.946,10.34,38.249,3.984,10.29,37.85,0,0
Jenny Wolf,3.946,10.26,38.307,3.984,10.14,37.838,0,0
Margot Boer,3.989,10.68,38.511,3.479,10.69,38.365,0,0
Yulia Nemaya,3.989,10.59,38.594,4.223,10.45,108.446,0,1
